date,lesson,notes
week1 mon,Introduction to Mechanics,Read ch. 1;Review syllabus
week1 wed,Vectors and Scalars,
week1 fri,Newton's First Law,HW 1 due
week2 mon,Newton's Second Law,
week2 wed,Newton's Third Law,
week2 fri,Friction and Normal Force,HW 2 due
week3 mon,Review Session,Bring questions;Practice problems posted
week3 wed,Quiz 1,Covers ch. 1-3;Bring calculator;No notes allowed
week3 fri,Work and Energy,
week4 mon,NO CLASS,Labor Day
week4 wed,Kinetic and Potential Energy,
week4 fri,Conservation of Energy,HW 3 due
week5 mon,Power,
week5 wed,Momentum,
week5 fri,Impulse and Collisions,HW 4 due
week6 mon,Rotational Motion,
week6 wed,Torque,
week6 fri,Review Session,
week7 wed,Test 1,Covers ch. 1-6;Bring calculator
